派别,场所名称,地址,负责人姓名,省级行政区,省属地级行政区/直辖市属县区级行政区,经纬度,,,,,,
全真,北京白云观,北京市西城区西便门外白云观,李信军,北京,西城区,"116.343781,39.901235",,,,,,
正一,火德真君庙,北京市西城区地安门外大街77号,张凯,北京,西城区,"116.395765,39.936856",,,,,,
全真,吕祖宫,北京市西城区复兴门北顺城街15号,冯高欣,北京,西城区,"116.357407,39.912987",,,,,,
正一,东岳庙,北京市朝阳区朝外大街141号,袁志鸿,北京,朝阳区,"116.444100,39.925053",,,,,,
全真,桃源观,北京市海淀区聂各庄镇凤凰岭景区内,黄信阳,北京,海淀区,"116.090180,40.102300",,,,,,
全真,圣莲山真武庙,北京市房山区史家营镇圣莲山风景区内,高怀仁,北京,房山区,"115.737848,39.846455",,,,,,
正一,上英水真武庙,北京市房山区佛子庄乡上英水村,王成亚,北京,房山区,"115.902492,39.787952",,,,,,
全真,佑民观,北京市通州区张家湾镇里二泗村,刘崇尧,北京,通州区,"116.759781,39.831280",,,,,,
全真,青龙观,北京市昌平区南口镇龙潭村,梁弘鑫,北京,昌平区,"116.082199,40.264559",,,,,,
正一,城隍庙,北京市昌平区居庸关景区内,张兴发,北京,昌平区,"116.074183,40.291986",,,,,,
全真,兴隆观,北京市平谷区南独乐河镇峨眉山,文高钰,北京,平谷区,"117.197231,40.220419",,,,,,
全真,龙王庙,北京市平谷区大华山镇挂甲峪村,朱崇君,北京,平谷区,"117.107377,40.260943",,,,,,
全真,药王庙,北京市平谷区金海湖镇滑子村,常高禄,北京,平谷区,"117.289321,40.196653",,,,,,
正一,上海城隍庙,上海市黄浦区方浜中路249号,吉宏忠,上海,黄浦区,"121.492317,31.226203",,,,,,
正一,白云观,上海市黄浦区大境路239号,姚树良,上海,黄浦区,"121.483763,31.224904",,,,,,
正一,三泾庙,上海市长宁区长宁路244号,夏玉东,上海,长宁区,"121.425640,31.221807",,,,,,
正一,诸翟关帝庙,上海市闵行区华漕镇诸翟紫苑路126号,方忠雪,上海,闵行区,"121.295280,31.205034",,,,,,
正一,排马庙,上海市闵行区浦江镇跃农二队,方忠雪,上海,闵行区,"121.483111,31.081807",,,,,,
正一,嘉定城隍庙,上海市嘉定区嘉定镇东大街312号,王进,上海,嘉定区,"121.255082,31.381896",,,,,,
正一,祝桥关帝庙,上海市浦东新区祝桥镇红星村关帝庙,金鹏飞,上海,浦东新区,"121.781756,31.089368",,,,,,
正一,一王庙,上海市浦东新区康桥镇营房村三组,戚右飞,上海,浦东新区,"121.573622,31.129426",,,,,,
正一,东海姚家庙,上海市浦东新区祝桥镇东海新如村六如365号,陆华平,上海,浦东新区,"121.821096,31.069946",,,,,,
正一,新场东岳观,上海市浦东新区新场镇沪南公路7483号,邵志强,上海,浦东新区,"121.649175,31.029401",,,,,,
正一,十泽道院,上海市浦东新区北蔡镇浦三路1234号,叶有贵,上海,浦东新区,"121.523509,31.172199",,,,,,
全真,三元宫坤道院,上海市浦东新区高科西路2119号,范金凤,上海,浦东新区,"121.536225,31.188005",,,,,,
正一,龙王庙道观,上海市浦东新区曹路镇启明村龙王庙1号,葛乃君,上海,浦东新区,"121.696391,31.275205",,,,,,
正一,崇福道院,上海市浦东新区三林镇杨南路555号,张开华,上海,浦东新区,"121.497591,31.150927",,,,,,
正一,陈行关帝庙,上海市浦东新区川展路419号,钟再虎,上海,浦东新区,"121.707213,31.165171",,,,,,
