地址,"经度,纬度",坐标系,解析结果,错误信息
北京市东城区,"116.416357,39.928353",,北京市东城区,
北京市西城区,"116.365868,39.912289",,北京市西城区,
北京市朝阳区,"116.601144,39.948574",,北京市朝阳区,
北京市丰台区,"116.287149,39.858427",,北京市丰台区,
北京市石景山区,"116.222982,39.906611",,北京市石景山区,
北京市海淀区,"116.329519,39.972134",,北京市海淀区,
北京市门头沟区,"116.102009,39.940646",,北京市门头沟区,
北京市房山区,"116.143267,39.749144",,北京市房山区,
北京市通州区,"116.656435,39.909946",,北京市通州区,
北京市顺义区,"116.654561,40.130347",,北京市顺义区,
北京市昌平区,"116.231204,40.220660",,北京市昌平区,
北京市大兴区,"116.341014,39.784747",,北京市大兴区,
北京市怀柔区,"116.642349,40.315704",,北京市怀柔区,
北京市平谷区,"117.121383,40.140701",,北京市平谷区,
北京市密云区,"116.843177,40.376834",,北京市密云区,
北京市延庆区,"115.974848,40.456951",,北京市延庆区,
天津市和平区,"117.208125,39.118897",,天津市和平区,
天津市河东区,"117.251587,39.128291",,天津市河东区,
天津市河西区,"117.223372,39.109563",,天津市河西区,
天津市南开区,"117.150738,39.138203",,天津市南开区,
天津市河北区,"117.196648,39.147869",,天津市河北区,
天津市红桥区,"117.151533,39.167345",,天津市红桥区,
天津市东丽区,"117.314324,39.086569",,天津市东丽区,
天津市西青区,"117.013949,39.141591",,天津市西青区,
天津市津南区,"117.391976,38.984526",,天津市津南区,
天津市北辰区,"117.139343,39.217817",,天津市北辰区,
天津市武清区,"117.044388,39.384119",,天津市武清区,
天津市宝坻区,"117.309863,39.717379",,天津市宝坻区,
天津市滨海新区,"117.780670,39.246083",,天津市滨海新区,
天津市宁河区,"117.826625,39.329858",,天津市宁河区,
天津市静海区,"116.974130,38.947512",,天津市静海区,
天津市蓟州区,"117.408307,40.046060",,天津市蓟州区,
河北省石家庄市,"114.514859,38.042306",,河北省石家庄市,
河北省唐山市,"118.180193,39.630867",,河北省唐山市,
河北省秦皇岛市,"119.600492,39.935385",,河北省秦皇岛市,
河北省邯郸市,"114.538961,36.625657",,河北省邯郸市,
